commit_hash,files_changed,lines_added,lines_deleted,message_length,label_bugfix,lines_changed,change_density,is_large_commit,is_small_commit
33850c0ebd23ae615e6823993d441f46d80b1ff0,15.0,601.3999999999996,0.0,44.0,0,601.3999999999996,40.09333333333331,1,0
b15ad394279fc3b7f998fa56857f334a7c0156f6,2.0,36.0,0.0,25.0,0,36.0,18.0,0,0
4ec7d2a0d8eac4f915dc0d38a886cd57045bb0c4,9.0,601.3999999999996,9.0,66.0,0,610.3999999999996,67.82222222222218,1,0
44b42e0fbd93d86e0f4e929bda8e5fb63e81035d,1.0,21.0,0.0,33.0,0,21.0,21.0,0,0
3b36bef2e6165bb4dad73d17f23ee1879e99f497,4.0,198.0,27.0,66.0,0,225.0,56.25,1,0
4aa76212d1be9b17a57249549c2a73fb10b6cda8,6.0,359.0,4.0,52.0,0,363.0,60.5,1,0
625eba4bb403296a8bbc1e72cc9cf4a5126f6c02,1.0,224.0,0.0,36.0,0,224.0,224.0,1,0
4edec48b74dbb9d571e927b69b24c30ec0624975,1.0,98.0,1.0,23.0,0,99.0,99.0,0,0
727c701686c18c4a27ca523eb0c5862d497be24e,5.0,199.0,4.0,42.0,0,203.0,40.6,1,0
a9d4ea81da28ee9c894bf9d45adc4cfa9d52fddc,2.0,86.0,68.0,34.0,0,154.0,77.0,0,0
7d6b8e9ab3e738d69e39ad53a7c0f6a552d5284a,1.0,31.0,5.0,45.0,0,36.0,36.0,0,0
3d719f35f5c1ee4ce3dc01fb2167ef49c0180cf6,13.0,601.3999999999996,10.0,52.0,1,611.3999999999996,47.0307692307692,1,0
9dfab582d065521e9350327801ed2c5ced1c8fa1,1.0,14.0,1.0,14.0,0,15.0,15.0,0,0
8e9bd5f009bb8756a2a7d76a4b792323eeee49d6,1.0,1.0,1.0,12.0,1,2.0,2.0,0,0
4e1b3e1134eb478563bc434d794085d0a412cb84,1.0,3.0,0.0,17.0,0,3.0,3.0,0,0
05f36c7f7e2df36ee28f90d99632162579b1287c,10.0,486.0,44.0,30.0,0,530.0,53.0,1,0
1fff3e598126a084348ec2c112fdd3bc6b9a1ee0,3.0,10.0,8.0,64.0,1,18.0,6.0,0,0
574e81f9c8bbdc41958e1e7a7613633b091101f8,2.0,5.0,2.0,23.0,1,7.0,3.5,0,0
df929c6c77ea5490a969275e45075c29711a498c,1.0,24.0,0.0,30.0,0,24.0,24.0,0,0
8171da88a49eba769d313a51591ee8575be59762,1.0,57.0,0.0,22.0,0,57.0,57.0,0,0
85ca089dde8814c4a42ad4574cddce25d60e5e25,1.0,3.0,2.0,13.0,0,5.0,5.0,0,0
4e7aa9e7f7a86ee0ea4b6801694c13151518cb52,1.0,11.0,8.0,11.0,0,19.0,19.0,0,0
4671429a509094f36e2294055340197091d39979,4.0,48.0,3.0,73.0,0,51.0,12.75,0,0
d78b04a3fca8d8887382606897d4a97e55062fda,1.0,1.0,0.0,27.0,0,1.0,1.0,0,0
6a3a046f55755f0691568431e68a8bfea8d89df0,1.0,5.0,1.0,23.0,0,6.0,6.0,0,0
0b8e01b4450d0ba8cb65751d866568fddc155fa4,1.0,3.0,0.0,13.0,0,3.0,3.0,0,0
03168a5d53457fdb8676a4ac9fca0f76a23c6852,7.0,30.0,89.0,39.0,0,119.0,17.0,0,0
f2dc38cda61f76c64b97ab9f730accc986a4b188,4.0,153.0,4.0,56.0,0,157.0,39.25,0,0
ef524f2cfd65377b3b9ce896e7a710472b13c0f6,1.0,0.0,1.0,30.0,0,1.0,1.0,0,0
03148dba6b26a2694da1d466584f50189c52e7b3,3.0,41.0,12.0,27.0,0,53.0,17.666666666666668,0,0
2f5a4f8dbc832b0daebcd66ea8b3969589191fa7,4.0,127.0,11.0,26.0,1,138.0,34.5,0,0
51c9829a9cdfa2bf301431f686d7a404cc7c5083,3.0,4.0,4.0,31.0,1,8.0,2.6666666666666665,0,0
36071ca1f42a26ef327e9d14e4909a8c92cd4fae,1.0,39.0,0.0,63.0,0,39.0,39.0,0,0
a01e8b49ca66608f0bd46134ff02deeb5724c799,1.0,28.0,4.0,72.0,1,32.0,32.0,0,0
de03143f6ecf9a36dd32f16f07309c64d4de03b0,1.0,74.0,0.0,39.0,0,74.0,74.0,0,0
4affedec356ad8c9e6a107578f03fc7f5c615064,1.0,8.0,0.0,22.0,0,8.0,8.0,0,0
959b5df00431c436474c5abca304e631c0de7721,1.0,2.0,3.0,66.0,0,5.0,5.0,0,0
a42728568e18bedf588be2357b56021ab85b9fad,1.0,4.0,4.0,51.0,0,8.0,8.0,0,0
8009bd986940378bba1399dbfce90d03e441467b,1.0,1.0,1.0,38.0,1,2.0,2.0,0,0
08f1f0dc32004fae01cf96d1eed84e6461e698e5,5.0,197.0,82.0,22.0,0,279.0,55.8,1,0
ca520fb7e4c29afccc637e61c11429a0f3e8d5ad,3.0,15.0,5.0,65.0,0,20.0,6.666666666666667,0,0
2d9bb692728fd76b19e467499caa4f5fcb07aede,1.0,24.0,3.0,61.0,0,27.0,27.0,0,0
c33675f0251071ea47ce166b81ce8c637842f091,7.0,241.0,0.0,83.0,0,241.0,34.42857142857143,1,0
fc94599285aa1aec50b3c9426697249e55edda0a,2.0,26.0,2.0,40.0,0,28.0,14.0,0,0
1d8432ebfd1637eacab79a15e9b7963bf061371c,1.0,1.0,0.0,42.0,0,1.0,1.0,0,0
c4f5c2fb9afc1679c085500830bd53fab93ad885,1.0,1.0,1.0,12.0,1,2.0,2.0,0,0
1246f4088a4fdc00a79f8029ff5d77bfe4fc9b14,9.0,394.0,14.0,72.0,0,408.0,45.333333333333336,1,0
6dd92ae4b32c336564231e10db12458a8b9261ca,7.0,306.0,92.0,22.0,0,398.0,56.857142857142854,1,0
40e0024d7b87150ed694829a5335bd2435962225,3.0,16.0,2.0,85.0,1,18.0,6.0,0,0
7b5015010bc8c2a2d56c7c50b37e5b9facdad102,1.0,11.0,7.0,138.0,1,18.0,18.0,0,0
fb2d2e446bdd806ea3de7b869c7371e2dae57a23,6.0,30.0,29.0,84.0,1,59.0,9.833333333333334,0,0
26f86b1d4954dd7512684130ee803b42eca8d72e,2.0,213.0,8.0,33.0,0,221.0,110.5,1,0
b608785801ce819037cb6cca04c70fd398519c08,1.0,3.0,3.0,17.0,0,6.0,6.0,0,0
61d07b8be9beae54d1c367adfc845dcf30a1512a,1.0,4.0,1.0,43.0,0,5.0,5.0,0,0
